           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
    1926.488700 [0001]  kworker/1:1-eve[8804]             351.965      0.005      0.008 
    1926.494013 [0002]  <idle>                              0.017      0.000     11.403 
    1926.494025 [0002]  kubelet[1866/1862]                 37.055      0.005      0.012 
    1926.494886 [0001]  <idle>                              0.008      0.000      6.186 
    1926.494891 [0001]  kubelet[1863/1862]                 28.071      0.005      0.004 
    1926.495076 [0002]  <idle>                              0.012      0.000      1.051 
    1926.495086 [0001]  <idle>                              0.004      0.000      0.195 
    1926.495093 [0001]  kubelet[1871/1862]                 38.117      0.004      0.006 
    1926.495118 [0002]  kubelet[1866/1862]                  1.051      0.005      0.041 
    1926.504944 [0001]  <idle>                              0.006      0.000      9.850 
    1926.504948 [0001]  kubelet[1863/1862]                 10.052      0.003      0.004 
    1926.556156 [0001]  <idle>                              0.004      0.000     51.208 
    1926.556162 [0001]  kubelet[1871/1862]                 61.063      0.003      0.006 
    1926.556234 [0002]  <idle>                              0.041      0.000     61.116 
    1926.556271 [0002]  perf[13772/13756]                   0.000      0.005      0.036 
    1926.557019 [0001]  <idle>                              0.006      0.000      0.856 
    1926.557023 [0001]  kubelet[1863/1862]                 52.070      0.003      0.004 
    1926.557215 [0001]  <idle>                              0.004      0.000      0.191 
    1926.557226 [0002]  <idle>                              0.036      0.000      0.955 
    1926.557237 [0002]  kubelet[1866/1862]                 62.108      0.006      0.010 
    1926.557243 [0001]  kubelet[1871/1862]                  1.052      0.003      0.027 
    1926.567077 [0001]  <idle>                              0.027      0.000      9.834 
    1926.567081 [0001]  kubelet[1863/1862]                 10.053      0.004      0.004 
    1926.570995 [0002]  <idle>                              0.010      0.000     13.758 
    1926.571031 [0002]  gnome-shell[1240]                 100.099      0.005      0.035 
